iter	Passed	Remaining
0	3	1033
1	7	974
2	11	953
3	14	934
4	18	935
5	21	926
6	25	917
7	29	934
8	33	930
9	36	920
10	40	919
11	43	909
12	47	910
13	51	912
14	55	908
15	58	902
16	63	904
17	66	897
18	70	894
19	73	890
20	77	890
21	81	885
22	85	882
23	89	888
24	93	884
25	97	882
26	101	880
27	105	875
28	109	872
29	112	868
30	117	874
31	122	875
32	126	874
33	130	870
34	134	867
35	137	861
36	141	858
37	145	855
38	149	851
39	153	846
40	157	843
41	160	838
42	164	835
43	168	831
44	172	827
45	178	832
46	182	831
47	186	827
48	190	823
49	194	821
50	199	819
51	203	816
52	206	811
53	210	807
54	214	802
55	218	798
56	221	794
57	226	791
58	229	786
59	233	781
60	237	777
61	241	774
62	244	769
63	248	765
64	252	761
65	256	757
66	260	752
67	264	749
68	267	744
69	271	740
70	275	736
71	278	732
72	282	727
73	286	723
74	290	719
75	293	715
76	298	713
77	302	708
78	305	704
79	309	701
80	313	697
81	317	693
82	321	689
83	325	685
84	329	682
85	333	679
86	337	675
87	341	671
88	345	667
89	349	663
90	352	659
91	356	655
92	360	650
93	364	646
94	367	642
95	371	638
96	375	635
97	379	631
98	383	627
99	387	624
100	391	620
101	396	617
102	399	613
103	404	610
104	408	606
105	412	603
106	416	598
107	420	595
108	423	590
109	427	587
110	431	583
111	435	579
112	439	575
113	442	571
114	446	567
115	450	563
116	455	560
117	459	556
118	463	552
119	466	548
120	470	544
121	474	541
122	478	537
123	482	533
124	486	529
125	490	525
126	494	521
127	498	517
128	502	514
129	506	509
130	509	505
131	513	502
132	517	498
133	521	494
134	525	490
135	529	486
136	534	483
137	537	479
138	541	475
139	545	471
140	550	468
141	554	464
142	558	460
143	562	456
144	566	452
145	570	449
146	573	445
147	578	441
148	582	437
149	585	433
150	589	429
151	593	425
152	597	421
153	601	417
154	604	413
155	608	409
156	613	406
157	618	402
158	622	399
159	626	395
160	629	391
161	633	387
162	637	383
163	641	379
164	646	375
165	649	371
166	653	367
167	657	363
168	662	360
169	666	356
170	671	353
171	674	349
172	678	345
173	682	341
174	686	337
175	690	333
176	693	329
177	697	325
178	701	321
179	705	317
180	709	313
181	713	309
182	717	305
183	721	301
184	724	297
185	729	294
186	732	289
187	737	286
188	740	282
189	744	278
190	748	274
191	752	270
192	756	266
193	760	262
194	763	258
195	767	254
196	771	250
197	775	246
198	779	242
199	783	238
200	786	234
201	790	230
202	794	226
203	798	223
204	801	219
205	805	215
206	809	211
207	813	207
208	817	203
209	821	199
210	824	195
211	828	191
212	832	187
213	836	183
214	840	179
215	844	175
216	848	172
217	852	168
218	855	164
219	859	160
220	863	156
221	867	152
222	871	148
223	875	144
224	878	140
225	883	136
226	886	132
227	890	128
228	894	125
229	898	121
230	902	117
231	906	113
232	910	109
233	914	105
234	918	101
235	923	97
236	927	93
237	931	90
238	936	86
239	941	82
240	945	78
241	950	74
242	954	70
243	959	66
244	965	63
245	973	59
246	977	55
247	981	51
248	985	47
249	989	43
250	993	39
251	998	35
252	1002	31
253	1008	27
254	1012	23
255	1018	19
256	1023	15
257	1026	11
258	1031	7
259	1034	3
260	1038	0
